"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"01","05.01.12",16.0,966.0,-982.0,-107.0,9.0,-186.0,-56.0,103.0,-744.0,0.0
"01","05.01.13",-533.0,-269.0,802.0,-628.0,-7.0,404.0,67.0,54.0,912.0,0.0
"01","05.01.14",-3914.0,1892.0,2022.0,-133.0,-134.0,1661.0,91.0,117.0,419.0,0.0
"01","05.01.17",-2578.0,3273.0,-695.0,-387.0,147.0,-755.0,-31.0,204.0,128.0,0.0
"01","05.01.18",-434.0,1047.0,-613.0,97.0,-42.0,-825.0,-11.0,74.0,93.0,0.0
"01","05.01.19",337.0,-258.0,-79.0,240.0,46.0,-634.0,44.0,63.0,163.0,0.0
"01","05.01.20",605.0,-199.0,-406.0,174.0,71.0,-719.0,19.0,-1.0,49.0,0.0
"01","05.01.21",-161.0,-1518.0,1678.0,96.0,47.0,1001.0,202.0,16.0,315.0,0.0
"01","05.01.24",-401.0,1240.0,-839.0,223.0,78.0,-1414.0,33.0,-30.0,270.0,0.0
"01","05.01.25",74.0,408.0,-481.0,19.0,125.0,-690.0,21.0,48.0,-4.0,0.0
"01","05.01.26",-1862.0,694.0,1168.0,92.0,-179.0,1262.0,-189.0,18.0,165.0,0.0
"01","05.01.27",-417.0,260.0,157.0,-105.0,-202.0,306.0,60.0,-74.0,172.0,0.0
"01","05.01.28",-15.0,-745.0,760.0,95.0,63.0,308.0,51.0,9.0,233.0,0.0
"01","05.01.31",-1202.0,-468.0,1670.0,-65.0,-1.0,1824.0,-98.0,11.0,1.0,0.0
"01","05.02.01",814.0,955.0,-1769.0,277.0,56.0,-1334.0,-153.0,-35.0,-579.0,0.0
"01","05.02.02",365.0,-336.0,-28.0,138.0,124.0,-415.0,-31.0,40.0,117.0,0.0
"01","05.02.03",-1224.0,402.0,822.0,53.0,164.0,-380.0,196.0,17.0,771.0,0.0
"01","05.02.04",-938.0,-31.0,969.0,147.0,59.0,-486.0,354.0,39.0,855.0,0.0
"01","05.02.07",-1886.0,1793.0,93.0,-520.0,-205.0,439.0,196.0,97.0,85.0,0.0
"01","05.02.11",662.0,1004.0,-1666.0,36.0,12.0,-1500.0,86.0,-8.0,-292.0,0.0
"01","05.02.14",-2181.0,913.0,1268.0,-210.0,-19.0,1215.0,-34.0,0.0,316.0,0.0
"01","05.02.15",122.0,1053.0,-1175.0,18.0,64.0,-1751.0,1.0,39.0,454.0,0.0
"01","05.02.16",-122.0,1195.0,-1073.0,-429.0,82.0,-765.0,-67.0,-48.0,154.0,0.0
"01","05.02.17",-587.0,474.0,113.0,276.0,17.0,-449.0,49.0,57.0,163.0,0.0
"01","05.02.18",-1011.0,600.0,412.0,92.0,9.0,207.0,18.0,-17.0,103.0,0.0
"01","05.02.21",3425.0,1848.0,-5273.0,-637.0,-110.0,-1408.0,-161.0,28.0,-2985.0,0.0
"01","05.02.22",177.0,1316.0,-1494.0,-459.0,11.0,26.0,-104.0,-53.0,-916.0,0.0
"01","05.02.23",-615.0,-796.0,1411.0,85.0,52.0,1468.0,-153.0,-17.0,-24.0,0.0
"01","05.02.24",-1046.0,-85.0,1131.0,383.0,-13.0,1008.0,-61.0,-4.0,-182.0,0.0
"01","05.02.25",-1315.0,1465.0,-150.0,204.0,121.0,71.0,-86.0,-11.0,-449.0,0.0
"01","05.02.28",-365.0,2884.0,-2519.0,-74.0,14.0,-2430.0,-45.0,-1.0,17.0,0.0
"01","05.03.02",2399.0,385.0,-2784.0,-508.0,-13.0,-1374.0,52.0,113.0,-1054.0,0.0
"01","05.03.03",772.0,-1467.0,695.0,46.0,71.0,576.0,-216.0,15.0,202.0,0.0
"01","05.03.04",-296.0,-428.0,724.0,-29.0,95.0,451.0,-102.0,-6.0,316.0,0.0
"01","05.03.07",827.0,-102.0,-725.0,-581.0,-57.0,-49.0,-49.0,-39.0,51.0,0.0
"01","05.03.08",432.0,-957.0,525.0,-277.0,32.0,875.0,-271.0,28.0,138.0,0.0
"01","05.03.09",-1739.0,-1375.0,3114.0,-227.0,-65.0,2217.0,100.0,51.0,1038.0,0.0
"01","05.03.10",2346.0,-1647.0,-699.0,-102.0,-210.0,-1138.0,-29.0,7.0,771.0,0.0
