"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"02","24.08.16",-1344.0,1010.0,659.0,9.0,22.0,427.0,-14.0,-43.0,258.0,-325.0
"02","24.08.14",-807.0,828.0,8.0,-84.0,22.0,67.0,-2.0,-47.0,52.0,-29.0
"02","24.08.13",2406.0,-1742.0,-689.0,2.0,-29.0,-408.0,0.0,-33.0,-220.0,25.0
"02","24.08.12",1716.0,-1550.0,-157.0,-99.0,20.0,112.0,-1.0,-67.0,-121.0,-10.0
"02","24.08.09",-1214.0,508.0,745.0,-202.0,57.0,874.0,4.0,-7.0,18.0,-39.0
"02","24.08.08",2445.0,-1988.0,-615.0,-472.0,-37.0,14.0,2.0,0.0,-122.0,158.0
"02","24.08.07",1210.0,-1583.0,370.0,-722.0,108.0,599.0,-5.0,21.0,369.0,3.0
"02","24.08.06",-4918.0,3577.0,1252.0,972.0,-34.0,154.0,-2.0,-62.0,224.0,89.0
"02","24.08.05",-6789.0,5457.0,1186.0,2707.0,-56.0,-1377.0,-16.0,-13.0,-60.0,146.0
"02","24.08.02",2438.0,-1505.0,-897.0,867.0,-170.0,-1189.0,-23.0,4.0,-386.0,-36.0
"02","24.08.01",-629.0,328.0,313.0,203.0,9.0,164.0,-7.0,-4.0,-52.0,-12.0
"02","24.07.31",479.0,-604.0,109.0,546.0,-49.0,-192.0,-2.0,-4.0,-191.0,16.0
"02","24.07.30",852.0,-1026.0,344.0,30.0,-18.0,448.0,-3.0,-5.0,-108.0,-170.0
"02","24.07.29",-1452.0,1043.0,463.0,503.0,-15.0,142.0,-1.0,-7.0,-159.0,-54.0
"02","24.07.26",-957.0,421.0,562.0,942.0,-58.0,-199.0,-9.0,-28.0,-87.0,-26.0
"01","24.07.26",-3730.0,-475.0,3983.0,2857.0,91.0,1167.0,-204.0,21.0,51.0,222.0
"01","24.07.25",8267.0,-6785.0,-1529.0,-3.0,-7.0,-1247.0,-139.0,82.0,-216.0,48.0
"02","24.07.25",959.0,-1395.0,506.0,2059.0,-83.0,-1048.0,-15.0,-42.0,-366.0,-69.0
"02","24.07.24",460.0,-320.0,208.0,82.0,23.0,-5.0,3.0,-21.0,127.0,-348.0
"01","24.07.24",2345.0,-2654.0,410.0,62.0,165.0,382.0,-51.0,-21.0,-127.0,-101.0
"01","24.07.23",-1990.0,2502.0,-246.0,-1064.0,86.0,769.0,-137.0,-35.0,137.0,-266.0
"02","24.07.23",-1807.0,1222.0,558.0,128.0,46.0,499.0,-5.0,-6.0,-105.0,27.0
"02","24.07.22",2592.0,-1809.0,-869.0,123.0,-33.0,-580.0,-20.0,-5.0,-354.0,86.0
"01","24.07.22",1414.0,-845.0,-238.0,1520.0,-73.0,-703.0,-38.0,-7.0,-936.0,-332.0
"01","24.07.19",7848.0,-4229.0,-3639.0,-738.0,1.0,-1706.0,-94.0,-19.0,-1083.0,20.0
"02","24.07.19",-225.0,-312.0,650.0,-185.0,38.0,706.0,-1.0,-4.0,96.0,-113.0
"02","24.07.18",54.0,823.0,-744.0,1004.0,-196.0,-1274.0,-8.0,-23.0,-246.0,-133.0
"01","24.07.18",3689.0,-3491.0,130.0,3832.0,-157.0,-1990.0,-639.0,-62.0,-854.0,-328.0
