"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"02","05.01.19",380.0,-250.0,-130.0,46.0,9.0,-98.0,-20.0,-35.0,-33.0,0.0
"02","05.01.20",323.0,-185.0,-138.0,6.0,13.0,5.0,-45.0,7.0,-124.0,0.0
"02","05.01.21",235.0,-177.0,-58.0,3.0,-17.0,-49.0,24.0,-2.0,-17.0,0.0
"02","05.01.24",321.0,-124.0,-196.0,-33.0,12.0,-48.0,22.0,-15.0,-135.0,0.0
"02","05.01.25",275.0,-76.0,-199.0,-24.0,-17.0,4.0,-34.0,-11.0,-117.0,0.0
"02","05.01.26",94.0,-12.0,-82.0,-40.0,-9.0,39.0,-42.0,18.0,-49.0,0.0
"02","05.01.27",-93.0,-21.0,114.0,-77.0,7.0,82.0,59.0,2.0,41.0,0.0
"02","05.01.28",-98.0,-5.0,104.0,-43.0,13.0,77.0,25.0,4.0,28.0,0.0
"02","05.01.31",307.0,-380.0,72.0,26.0,18.0,122.0,7.0,2.0,-102.0,0.0
"02","05.02.01",76.0,-94.0,18.0,9.0,18.0,86.0,-39.0,8.0,-64.0,0.0
"02","05.02.02",13.0,-125.0,112.0,-75.0,25.0,84.0,-18.0,15.0,81.0,0.0
"02","05.02.03",-115.0,14.0,101.0,-62.0,22.0,163.0,-31.0,-2.0,11.0,0.0
"02","05.02.04",-88.0,-27.0,116.0,49.0,9.0,70.0,-18.0,7.0,-1.0,0.0
"02","05.02.07",-190.0,96.0,94.0,49.0,15.0,-58.0,12.0,0.0,75.0,0.0
"02","05.02.11",-234.0,277.0,-43.0,11.0,2.0,45.0,-14.0,-11.0,-75.0,0.0
"02","05.02.14",-100.0,86.0,13.0,-14.0,-6.0,211.0,-33.0,-12.0,-134.0,0.0
"02","05.02.15",163.0,-50.0,-114.0,-69.0,-10.0,21.0,-20.0,1.0,-37.0,0.0
"02","05.02.16",250.0,-46.0,-204.0,-31.0,-12.0,-19.0,-77.0,-8.0,-58.0,0.0
"02","05.02.17",228.0,-80.0,-148.0,-40.0,6.0,49.0,-47.0,-5.0,-111.0,0.0
"02","05.02.18",212.0,12.0,-224.0,-23.0,-36.0,-48.0,18.0,-1.0,-134.0,0.0
"02","05.02.21",256.0,-39.0,-217.0,22.0,-9.0,-73.0,4.0,4.0,-165.0,0.0
"02","05.02.22",92.0,61.0,-153.0,-6.0,-8.0,-2.0,-13.0,-10.0,-114.0,0.0
"02","05.02.23",170.0,12.0,-182.0,1.0,-12.0,-86.0,-13.0,-4.0,-69.0,0.0
"02","05.02.24",-251.0,182.0,70.0,-39.0,-15.0,71.0,-21.0,2.0,73.0,0.0
"02","05.02.25",-351.0,310.0,41.0,-15.0,45.0,47.0,-6.0,20.0,-50.0,0.0
"02","05.02.28",51.0,168.0,-218.0,-28.0,3.0,-64.0,-131.0,12.0,-10.0,0.0
"02","05.03.02",-3.0,239.0,-236.0,-52.0,26.0,-120.0,7.0,14.0,-111.0,0.0
"02","05.03.03",116.0,-110.0,-6.0,0.0,3.0,60.0,-69.0,-10.0,9.0,0.0
"02","05.03.04",117.0,135.0,-252.0,-24.0,7.0,-26.0,-27.0,-6.0,-176.0,0.0
"02","05.03.07",306.0,-39.0,-267.0,-1.0,-13.0,-46.0,-29.0,5.0,-184.0,0.0
"02","05.03.08",252.0,12.0,-264.0,-62.0,-13.0,40.0,-53.0,-7.0,-169.0,0.0
"02","05.03.09",161.0,-37.0,-124.0,26.0,-31.0,-53.0,-6.0,-5.0,-55.0,0.0
"02","05.03.10",66.0,-51.0,-15.0,44.0,3.0,-64.0,40.0,-5.0,-33.0,0.0
"02","05.03.11",-114.0,-20.0,134.0,3.0,4.0,123.0,26.0,-14.0,-9.0,0.0
"02","05.03.14",159.0,-5.0,-154.0,-74.0,-12.0,-75.0,10.0,2.0,-3.0,0.0
"02","05.03.15",223.0,-13.0,-210.0,-72.0,-5.0,1.0,-11.0,-4.0,-119.0,0.0
"02","05.03.16",44.0,-21.0,-23.0,-26.0,-1.0,81.0,2.0,-21.0,-57.0,0.0
"02","05.03.17",103.0,19.0,-122.0,-18.0,-9.0,-35.0,-5.0,-6.0,-48.0,0.0
"02","05.03.18",25.0,25.0,-50.0,-7.0,20.0,18.0,-38.0,-11.0,-32.0,0.0
"02","05.03.21",95.0,181.0,-277.0,-5.0,17.0,-105.0,-15.0,-7.0,-163.0,0.0
"02","05.03.22",175.0,-6.0,-169.0,-18.0,-8.0,17.0,-22.0,-2.0,-136.0,0.0
