"TYPE_CODE","DATEON","END_VALUE","DELTA","UPDOWN_PER","VOLUME","COMP_BUY","FOR_BUY","FOR_CONT","FOR_PER"
"233740","2024.08.16",9655.0,370.0,3.98,16413200,5421590.0,35080.0,773321.0,0.51
"233740","2024.08.14",9285.0,230.0,2.54,16664800,3288490.0,2949.0,738241.0,0.48
"233740","2024.08.13",9055.0,-125.0,-1.36,23539200,-1675170.0,188.0,635292.0,0.4
"233740","2024.08.12",9180.0,105.0,1.16,15511600,1177710.0,-38305.0,535104.0,0.34
"233740","2024.08.09",9075.0,490.0,5.71,30441600,4745420.0,41395.0,473409.0,0.29
"233740","2024.08.08",8585.0,-155.0,-1.77,31110800,-1243080.0,-91019.0,432014.0,0.28
"233740","2024.08.07",8740.0,330.0,3.92,35205800,2736650.0,279116.0,523033.0,0.38
"233740","2024.08.06",8410.0,710.0,9.22,54358200,117402.0,130771.0,143917.0,0.11
"233740","2024.08.05",7700.0,-1830.0,-19.2,47202300,-19861200,-159148.0,0.0,0.0
"233740","2024.08.02",9530.0,-900.0,-8.63,29153900,-10497900,-1214940.0,0.0,0.0
"233740","2024.08.01",10430.0,290.0,2.86,21164800,4119580.0,509309.0,1187240.0,0.9
"233740","2024.07.31",10140.0,-50.0,-0.49,23781800,-3107080.0,332907.0,577926.0,0.45
"233740","2024.07.30",10190.0,20.0,0.2,17569900,34484.0,-93759.0,145019.0,0.12
"233740","2024.07.29",10170.0,260.0,2.62,19044700,1188000.0,-9535.0,138778.0,0.12
"233740","2024.07.26",9910.0,-25.0,-0.25,18683700,-3069600.0,-94335.0,0.0,0.0
"233740","2024.07.25",9935.0,-425.0,-4.1,27670600,-8731450.0,-560720.0,42648.0,0.04
"233740","2024.07.24",10360.0,85.0,0.83,18236500,1033550.0,160263.0,603368.0,0.55
"233740","2024.07.23",10275.0,65.0,0.64,20878400,-990217.0,192766.0,343105.0,0.32
"233740","2024.07.22",10210.0,-530.0,-4.93,25376100,-10601000,-671720.0,50339.0,0.05
"233740","2024.07.19",10740.0,170.0,1.61,15638800,-296311.0,46680.0,722059.0,0.72
"233740","2024.07.18",10570.0,-110.0,-1.03,21727800,-5372130.0,-139372.0,575379.0,0.61
"233740","2024.07.17",10680.0,-355.0,-3.22,19436400,-4860650.0,-34283.0,614751.0,0.62
"233740","2024.07.16",11035.0,-385.0,-3.37,17447500,-5819950.0,190188.0,549034.0,0.57
"233740","2024.07.15",11420.0,50.0,0.44,11043600,770003.0,-367802.0,458846.0,0.49
"233740","2024.07.12",11370.0,-65.0,-0.57,17662700,-205911.0,306976.0,926648.0,0.95
"233740","2024.07.11",11435.0,-210.0,-1.8,13734500,-1182290.0,52497.0,719672.0,0.76
"233740","2024.07.10",11645.0,-100.0,-0.85,13042200,90818.0,-243094.0,767175.0,0.78
"233740","2024.07.09",11745.0,15.0,0.13,15406900,1570460.0,-151421.0,1110270.0,1.07
"233740","2024.07.08",11730.0,280.0,2.45,18197600,3587650.0,-112612.0,1361690.0,1.26
"233740","2024.07.05",11450.0,395.0,3.57,23249400,6857000.0,486346.0,1574300.0,1.39
"233740","2024.07.04",11055.0,185.0,1.7,15666400,3115510.0,-198969.0,1187960.0,1.1
"233740","2024.07.03",10870.0,510.0,4.92,22177200,6784980.0,987667.0,1386920.0,1.23
"233740","2024.07.02",10360.0,-545.0,-5.0,23032400,-9599520.0,-530913.0,299258.0,0.27
"233740","2024.07.01",10905.0,365.0,3.46,14866800,3242330.0,-91080.0,830171.0,0.73
"233740","2024.06.28",10540.0,10.0,0.09,11893400,-717431.0,-287952.0,821251.0,0.74
"233740","2024.06.27",10530.0,20.0,0.19,11714500,132158.0,-200558.0,1209200.0,1.11
"233740","2024.06.26",10510.0,-95.0,-0.9,15581600,-1836770.0,57683.0,1409760.0,1.34
"233740","2024.06.25",10605.0,75.0,0.71,14989700,-587226.0,182292.0,1352080.0,1.23
"233740","2024.06.24",10530.0,-285.0,-2.64,13761600,-1868240.0,-202862.0,1269790.0,1.18
"233740","2024.06.21",10815.0,-40.0,-0.37,14558100,408657.0,-138796.0,1572650.0,1.52
"233740","2024.06.20",10855.0,-125.0,-1.14,14889400,-1097940.0,-228344.0,1811440.0,1.67
"233740","2024.06.19",10980.0,35.0,0.32,15754800,-491188.0,203355.0,2039790.0,1.94
"233740","2024.06.18",10945.0,0.0,0.0,15857100,167830.0,8639.0,1936430.0,1.9
"233740","2024.06.17",10945.0,-25.0,-0.23,14217300,235073.0,-333963.0,1927790.0,1.84
"233740","2024.06.14",10970.0,-330.0,-2.92,14509300,-1291710.0,-284855.0,2261760.0,2.1
"233740","2024.06.13",11300.0,-50.0,-0.44,13789500,1154960.0,-789790.0,2546610.0,2.28
"233740","2024.06.12",11350.0,0.0,0.0,15327700,-1226570.0,1257080.0,3336400.0,3.0
"233740","2024.06.11",11350.0,260.0,2.34,17521600,3315030.0,624916.0,2179320.0,1.87
"233740","2024.06.10",11090.0,-250.0,-2.2,13753600,-842154.0,-702606.0,1654410.0,1.35
"233740","2024.06.07",11340.0,535.0,4.95,24330700,7956940.0,998936.0,2457010.0,1.9
"233740","2024.06.05",10805.0,290.0,2.76,20676100,6000770.0,247106.0,1558080.0,1.23
"233740","2024.06.04",10515.0,210.0,2.04,21489600,6563710.0,840347.0,1410970.0,1.14
"233740","2024.06.03",10305.0,125.0,1.23,17453200,695425.0,-278796.0,470624.0,0.39
"233740","2024.05.31",10180.0,200.0,2.0,23960600,-2969180.0,226826.0,649420.0,0.55
"233740","2024.05.30",9980.0,-145.0,-1.43,17973500,-980238.0,-94695.0,422594.0,0.34
"233740","2024.05.29",10125.0,-370.0,-3.53,18219900,-3469660.0,-138604.0,517289.0,0.43
"233740","2024.05.28",10495.0,-30.0,-0.29,15739900,1430450.0,-16534.0,555893.0,0.47
"233740","2024.05.27",10525.0,330.0,3.24,20613200,449751.0,269720.0,472427.0,0.41
"233740","2024.05.24",10195.0,-195.0,-1.88,17197400,-3125330.0,-157708.0,102707.0,0.09
"233740","2024.05.23",10390.0,-70.0,-0.67,17614300,-2218970.0,-297004.0,160415.0,0.15
"233740","2024.05.22",10460.0,40.0,0.38,14070400,-1073090.0,-46509.0,357419.0,0.35
"233740","2024.05.21",10420.0,0.0,0.0,16901200,-2280030.0,63182.0,303928.0,0.33
"233740","2024.05.20",10420.0,40.0,0.39,21588900,-5140720.0,-162959.0,140746.0,0.15
"233740","2024.05.17",10380.0,-1020.0,-8.95,30539300,-11083600,13785.0,203705.0,0.2
