"TYPE_CODE","DATEON","CLOSING_PRICE","UP_DOWN_PER","VOLUME","VOLUME_AMT"
KOSDAQ,"1996.07.04",1018.4,1.3,235.0,5247.0
KOSDAQ,"1996.07.05",1037.8,1.9,59.0,894.0
KOSDAQ,"1996.07.06",1048.8,1.06,34.0,338.0
KOSDAQ,"1996.07.08",1048.2,-0.06,39.0,822.0
KOSDAQ,"1996.07.09",1060.1,1.14,45.0,589.0
KOSDAQ,"1996.07.10",1066.9,0.64,76.0,1901.0
KOSDAQ,"1996.07.11",1076.7,0.92,55.0,1139.0
KOSDAQ,"1996.07.12",1082.7,0.56,49.0,1113.0
KOSDAQ,"1996.07.13",1082.3,-0.04,23.0,424.0
KOSDAQ,"1996.07.15",1076.4,-0.55,63.0,982.0
KOSDAQ,"1996.07.16",1088.4,1.11,94.0,1530.0
KOSDAQ,"1996.07.18",1100.5,1.11,234.0,4025.0
KOSDAQ,"1996.07.19",1110.8,0.94,78.0,2362.0
KOSDAQ,"1996.07.20",1111.0,0.02,33.0,1183.0
KOSDAQ,"1996.07.22",1111.1,0.01,136.0,2409.0
KOSDAQ,"1996.07.23",1113.2,0.19,59.0,2012.0
KOSDAQ,"1996.07.24",1116.9,0.33,50.0,1431.0
KOSDAQ,"1996.07.25",1116.9,0.0,73.0,1353.0
KOSDAQ,"1996.07.26",1116.7,-0.02,122.0,2842.0
KOSDAQ,"1996.07.27",1123.6,0.62,216.0,5592.0
KOSDAQ,"1996.07.29",1130.9,0.65,39.0,1240.0
KOSDAQ,"1996.07.30",1134.8,0.34,41.0,2357.0
KOSDAQ,"1996.07.31",1141.3,0.57,38.0,494.0
KOSDAQ,"1996.08.01",1145.4,0.36,31.0,598.0
KOSDAQ,"1996.08.02",1154.1,0.76,25.0,359.0
KOSDAQ,"1996.08.03",1155.8,0.15,18.0,313.0
KOSDAQ,"1996.08.05",1149.4,-0.55,40.0,768.0
KOSDAQ,"1996.08.06",1153.6,0.37,37.0,584.0
KOSDAQ,"1996.08.07",1162.4,0.76,34.0,614.0
KOSDAQ,"1996.08.08",1165.7,0.28,36.0,652.0
KOSDAQ,"1996.08.09",1161.8,-0.33,66.0,811.0
KOSDAQ,"1996.08.10",1166.6,0.41,22.0,407.0
KOSDAQ,"1996.08.12",1167.7,0.09,31.0,579.0
KOSDAQ,"1996.08.13",1170.7,0.26,46.0,772.0
KOSDAQ,"1996.08.14",1170.2,-0.04,44.0,681.0
KOSDAQ,"1996.08.16",1168.6,-0.14,41.0,709.0
KOSDAQ,"1996.08.17",1167.3,-0.11,109.0,2667.0
KOSDAQ,"1996.08.19",1163.0,-0.37,48.0,667.0
KOSDAQ,"1996.08.20",1157.3,-0.49,39.0,648.0
KOSDAQ,"1996.08.21",1159.2,0.16,30.0,536.0
KOSDAQ,"1996.08.22",1158.5,-0.06,41.0,1117.0
KOSDAQ,"1996.08.23",1150.6,-0.68,82.0,1419.0
KOSDAQ,"1996.08.24",1149.8,-0.07,91.0,1018.0
KOSDAQ,"1996.08.26",1148.1,-0.15,91.0,1547.0
KOSDAQ,"1996.08.27",1153.1,0.44,103.0,1436.0
KOSDAQ,"1996.08.28",1150.5,-0.23,239.0,2755.0
KOSDAQ,"1996.08.29",1154.6,0.36,47.0,843.0
KOSDAQ,"1996.08.30",1155.2,0.05,93.0,1356.0
KOSDAQ,"1996.08.31",1155.3,0.01,37.0,798.0
KOSDAQ,"1996.09.02",1148.9,-0.55,47.0,1047.0
KOSDAQ,"1996.09.03",1144.6,-0.37,154.0,7210.0
KOSDAQ,"1996.09.04",1148.0,0.3,108.0,1624.0
KOSDAQ,"1996.09.05",1157.2,0.8,42.0,916.0
KOSDAQ,"1996.09.06",1164.1,0.6,91.0,2050.0
KOSDAQ,"1996.09.07",1166.8,0.23,37.0,801.0
KOSDAQ,"1996.09.09",1176.8,0.86,73.0,1395.0
KOSDAQ,"1996.09.10",1181.4,0.39,48.0,716.0
KOSDAQ,"1996.09.11",1183.1,0.14,220.0,2437.0
KOSDAQ,"1996.09.12",1179.7,-0.29,87.0,1805.0
KOSDAQ,"1996.09.13",1185.6,0.5,79.0,1349.0
KOSDAQ,"1996.09.14",1185.5,-0.01,64.0,1259.0
KOSDAQ,"1996.09.16",1186.0,0.04,98.0,2941.0
KOSDAQ,"1996.09.17",1178.9,-0.6,108.0,5445.0
KOSDAQ,"1996.09.18",1182.2,0.28,123.0,3388.0
KOSDAQ,"1996.09.19",1182.7,0.04,75.0,1149.0
KOSDAQ,"1996.09.20",1184.4,0.14,58.0,1881.0
KOSDAQ,"1996.09.21",1184.8,0.03,39.0,632.0
KOSDAQ,"1996.09.23",1182.0,-0.24,88.0,1388.0
KOSDAQ,"1996.09.24",1175.2,-0.58,54.0,927.0
KOSDAQ,"1996.09.25",1171.9,-0.28,41.0,697.0
KOSDAQ,"1996.09.30",1168.8,-0.26,105.0,2561.0
KOSDAQ,"1996.10.01",1164.7,-0.35,33.0,704.0
KOSDAQ,"1996.10.02",1165.3,0.05,126.0,1816.0
KOSDAQ,"1996.10.04",1167.5,0.19,212.0,4111.0
KOSDAQ,"1996.10.05",1169.7,0.19,25.0,470.0
KOSDAQ,"1996.10.07",1173.6,0.33,54.0,1132.0
KOSDAQ,"1996.10.08",1177.0,0.29,63.0,1472.0
KOSDAQ,"1996.10.09",1185.1,0.69,34.0,623.0
KOSDAQ,"1996.10.10",1195.2,0.85,68.0,1294.0
KOSDAQ,"1996.10.11",1204.1,0.74,57.0,940.0
KOSDAQ,"1996.10.12",1210.3,0.51,76.0,1366.0
KOSDAQ,"1996.10.14",1201.6,-0.72,92.0,2727.0
KOSDAQ,"1996.10.15",1192.9,-0.72,76.0,1903.0
KOSDAQ,"1996.10.16",1189.7,-0.27,48.0,898.0
KOSDAQ,"1996.10.17",1194.3,0.39,83.0,930.0
KOSDAQ,"1996.10.18",1198.4,0.34,77.0,1609.0
KOSDAQ,"1996.10.19",1200.2,0.15,34.0,663.0
KOSDAQ,"1996.10.21",1207.3,0.59,82.0,1579.0
KOSDAQ,"1996.10.22",1205.9,-0.12,329.0,11741.0
KOSDAQ,"1996.10.23",1203.6,-0.19,140.0,4197.0
KOSDAQ,"1996.10.24",1212.0,0.7,121.0,2180.0
KOSDAQ,"1996.10.25",1211.6,-0.03,203.0,5641.0
KOSDAQ,"1996.10.26",1216.5,0.4,135.0,3273.0
KOSDAQ,"1996.10.28",1221.7,0.43,101.0,1522.0
KOSDAQ,"1996.10.29",1219.0,-0.22,381.0,4928.0
KOSDAQ,"1996.10.30",1213.2,-0.48,104.0,1884.0
KOSDAQ,"1996.10.31",1223.5,0.85,196.0,2664.0
KOSDAQ,"1996.11.01",1237.1,1.11,152.0,2816.0
KOSDAQ,"1996.11.02",1256.2,1.54,50.0,1704.0
KOSDAQ,"1996.11.04",1279.1,1.82,142.0,3372.0
KOSDAQ,"1996.11.05",1277.8,-0.1,251.0,5374.0
KOSDAQ,"1996.11.06",1281.3,0.27,231.0,4449.0
KOSDAQ,"1996.11.07",1280.7,-0.05,126.0,2203.0
KOSDAQ,"1996.11.08",1286.5,0.45,149.0,4229.0
KOSDAQ,"1996.11.09",1281.6,-0.38,51.0,989.0
KOSDAQ,"1996.11.11",1279.3,-0.18,141.0,3492.0
KOSDAQ,"1996.11.12",1277.7,-0.13,96.0,1967.0
KOSDAQ,"1996.11.13",1273.7,-0.31,116.0,5389.0
KOSDAQ,"1996.11.14",1266.5,-0.57,48.0,951.0
KOSDAQ,"1996.11.15",1266.9,0.03,93.0,1927.0
KOSDAQ,"1996.11.16",1268.2,0.1,60.0,810.0
KOSDAQ,"1996.11.18",1270.3,0.17,160.0,5027.0
KOSDAQ,"1996.11.19",1277.7,0.58,40.0,1002.0
KOSDAQ,"1996.11.20",1277.8,0.01,158.0,2711.0
KOSDAQ,"1996.11.21",1279.3,0.12,70.0,1855.0
KOSDAQ,"1996.11.22",1283.5,0.33,174.0,4101.0
KOSDAQ,"1996.11.25",1268.6,-1.16,189.0,3684.0
KOSDAQ,"1996.11.26",1252.5,-1.27,127.0,1268.0
KOSDAQ,"1996.11.27",1235.2,-1.38,368.0,5642.0
KOSDAQ,"1996.11.28",1252.7,1.42,121.0,2168.0
KOSDAQ,"1996.11.29",1265.9,1.05,177.0,3474.0
KOSDAQ,"1996.11.30",1272.7,0.54,151.0,2384.0
KOSDAQ,"1996.12.02",1259.8,-1.01,166.0,4947.0
KOSDAQ,"1996.12.03",1263.4,0.29,88.0,1100.0
KOSDAQ,"1996.12.04",1263.6,0.02,335.0,5947.0
KOSDAQ,"1996.12.05",1258.8,-0.38,59.0,1141.0
KOSDAQ,"1996.12.06",1255.9,-0.23,189.0,3302.0
KOSDAQ,"1996.12.07",1255.5,-0.03,63.0,1428.0
KOSDAQ,"1996.12.09",1250.7,-0.38,65.0,1040.0
KOSDAQ,"1996.12.10",1248.6,-0.17,90.0,1708.0
KOSDAQ,"1996.12.11",1244.6,-0.32,234.0,5632.0
KOSDAQ,"1996.12.12",1231.8,-1.03,152.0,2478.0
KOSDAQ,"1996.12.13",1223.8,-0.65,303.0,4408.0
KOSDAQ,"1996.12.14",1216.7,-0.58,127.0,2939.0
KOSDAQ,"1996.12.16",1208.0,-0.72,131.0,2859.0
KOSDAQ,"1996.12.17",1205.2,-0.23,106.0,1576.0
KOSDAQ,"1997.01.03",1195.1,-0.84,8.0,145.0
KOSDAQ,"1997.01.04",1189.0,-0.51,214.0,3224.0
KOSDAQ,"1997.01.06",1173.5,-1.3,37.0,739.0
KOSDAQ,"1997.01.07",1157.0,-1.41,238.0,5233.0
KOSDAQ,"1997.01.08",1151.5,-0.48,87.0,1040.0
KOSDAQ,"1997.01.09",1162.7,0.97,95.0,2223.0
KOSDAQ,"1997.01.10",1169.1,0.55,217.0,4833.0
KOSDAQ,"1997.01.11",1176.9,0.67,38.0,1708.0
KOSDAQ,"1997.01.13",1174.4,-0.21,106.0,3117.0
KOSDAQ,"1997.01.14",1178.1,0.32,74.0,2128.0
KOSDAQ,"1997.01.15",1179.9,0.15,107.0,2267.0
KOSDAQ,"1997.01.16",1182.5,0.22,191.0,2747.0
KOSDAQ,"1997.01.17",1190.2,0.65,65.0,1621.0
KOSDAQ,"1997.01.18",1186.0,-0.35,40.0,923.0
KOSDAQ,"1997.01.20",1200.0,1.18,216.0,4107.0
KOSDAQ,"1997.01.21",1198.9,-0.09,292.0,5819.0
KOSDAQ,"1997.01.22",1192.4,-0.54,66.0,1288.0
KOSDAQ,"1997.01.23",1189.7,-0.23,99.0,2470.0
KOSDAQ,"1997.01.24",1188.0,-0.14,70.0,1555.0
